time_local,start_count,end_count,reduce/min
2022-12-17 15:50:17,6720344,6720337,7
2022-12-17 15:52:07,6720337,6720332,5
2022-12-17 15:54:20,6720332,6720329,3
2022-12-17 15:55:59,6720329,6720324,5
2022-12-17 15:57:39,6720324,6720322,2
2022-12-17 15:59:20,6720322,6720318,4
2022-12-17 16:01:02,6720318,6720314,4
2022-12-17 16:02:46,6720314,6720308,6
2022-12-17 16:04:26,6720308,6720306,2
2022-12-17 16:06:05,6720306,6720300,6
2022-12-17 16:07:46,6720300,6720296,4
2022-12-17 16:09:51,6720296,6720293,3
2022-12-17 16:11:48,6720293,6720288,5
2022-12-17 16:13:34,6720288,6720281,7
2022-12-17 16:15:15,6720281,6720274,7
2022-12-17 16:17:17,6720274,6720269,5
2022-12-17 16:19:00,6720269,6720264,5
2022-12-17 16:20:43,6720264,6720260,4
2022-12-17 16:22:24,6720260,6720256,4
2022-12-17 16:24:04,6720256,6720254,2
2022-12-17 16:25:45,6720254,6720250,4
2022-12-17 16:27:26,6720250,6720244,6
2022-12-17 16:29:05,6720244,6720236,8
2022-12-17 16:30:45,6720236,6720226,10
2022-12-17 16:32:27,6720226,6720222,4
2022-12-17 16:34:06,6720222,6720219,3
2022-12-17 16:36:00,6720219,6720213,6
2022-12-17 16:37:40,6720213,6720207,6
2022-12-17 16:39:23,6720207,6720201,6
2022-12-17 16:41:05,6720201,6720197,4
2022-12-17 16:42:46,6720197,6720194,3
2022-12-17 16:44:29,6720194,6720188,6
2022-12-17 16:46:10,6720188,6720184,4
2022-12-17 16:47:52,6720184,6720177,7
2022-12-17 16:49:32,6720177,6720171,6
2022-12-17 16:51:13,6720171,6720159,12
2022-12-17 16:53:06,6720159,6720149,10
2022-12-17 16:55:06,6720149,6720143,6
2022-12-17 16:56:49,6720143,6720140,3
2022-12-17 16:58:29,6720140,6720134,6
2022-12-17 17:00:12,6720134,6720130,4
2022-12-17 17:01:53,6720130,6720125,5
2022-12-17 17:03:32,6720125,6720120,5
2022-12-17 17:05:22,6720120,6720116,4
2022-12-17 17:07:09,6720116,6720107,9
2022-12-17 17:08:51,6720107,6720104,3
2022-12-17 17:10:33,6720104,6720099,5
2022-12-17 17:12:15,6720099,6720094,5
2022-12-17 17:13:56,6720094,6720088,6
2022-12-17 17:15:45,6720088,6720083,5
2022-12-17 17:17:54,6720083,6720070,13
2022-12-17 17:19:36,6720070,6720068,2
2022-12-17 17:21:18,6720068,6720063,5
2022-12-17 17:22:58,6720063,6720058,5
2022-12-17 17:24:40,6720058,6720053,5
2022-12-17 17:26:28,6720053,6720051,2
2022-12-17 17:28:11,6720051,6720048,3
2022-12-17 17:31:07,6720048,6720042,6
2022-12-17 17:32:51,6720042,6720038,4
2022-12-17 17:34:33,6720038,6720034,4
2022-12-17 17:36:12,6720034,6720028,6
2022-12-17 17:37:54,6720028,6720021,7
2022-12-17 17:39:34,6720021,6720014,7
2022-12-17 17:41:33,6720014,6720007,7
2022-12-17 17:43:17,6720007,6720002,5
2022-12-17 17:45:00,6720002,6719993,9
2022-12-17 17:46:44,6719993,6719987,6
2022-12-17 17:48:28,6719987,6719983,4
2022-12-17 17:50:11,6719983,6719976,7
2022-12-17 17:51:56,6719976,6719970,6
2022-12-17 17:53:40,6719970,6719961,9
2022-12-17 17:55:39,6719961,6719953,8
2022-12-17 17:57:29,6719953,6719945,8
2022-12-17 17:59:18,6719945,6719942,3
2022-12-17 18:01:01,6719942,6719938,4
2022-12-17 18:02:47,6719938,6719929,9
2022-12-17 18:04:30,6719929,6719923,6
2022-12-17 18:06:14,6719923,6719916,7
2022-12-17 18:07:56,6719916,6719911,5
2022-12-17 18:09:36,6719911,6719906,5
2022-12-17 18:11:17,6719906,6719900,6
2022-12-17 18:12:58,6719900,6719898,2
2022-12-17 18:15:19,6719898,6719885,13
2022-12-17 18:17:32,6719885,6719880,5
2022-12-17 18:19:21,6719880,6719876,4
2022-12-17 18:21:03,6719876,6719871,5
2022-12-17 18:22:46,6719871,6719865,6
2022-12-17 18:24:28,6719865,6719855,10
2022-12-17 18:26:53,6719855,6719842,13
2022-12-17 18:28:41,6719842,6719836,6
2022-12-17 18:30:21,6719836,6719831,5
2022-12-17 18:32:20,6719831,6719825,6
2022-12-17 18:34:00,6719825,6719822,3
2022-12-17 18:35:42,6719822,6719816,6
2022-12-17 18:37:52,6719816,6719809,7
2022-12-17 18:39:33,6719809,6719804,5
2022-12-17 18:41:14,6719804,6719797,7
2022-12-17 18:42:57,6719797,6719792,5
2022-12-17 18:44:39,6719792,6719787,5
2022-12-17 18:46:22,6719787,6719781,6
2022-12-17 18:48:06,6719781,6719776,5
2022-12-17 18:49:46,6719776,6719766,10
2022-12-17 18:51:29,6719766,6719760,6
2022-12-17 18:53:28,6719760,6719759,1
2022-12-17 18:55:17,6719759,6719757,2
2022-12-17 18:57:03,6719757,6719752,5
2022-12-17 18:59:01,6719752,6719749,3
2022-12-17 19:01:49,6719749,6719742,7
2022-12-17 19:03:31,6719742,6719742,0
2022-12-17 19:05:11,6719742,6719736,6
2022-12-17 19:06:52,6719736,6719726,10
2022-12-17 19:08:36,6719726,6719718,8
2022-12-17 19:10:23,6719718,6719714,4
2022-12-17 19:12:03,6719714,6719708,6
2022-12-17 19:13:46,6719708,6719706,2
2022-12-17 19:15:25,6719706,6719697,9
2022-12-17 19:17:07,6719697,6719694,3
2022-12-17 19:18:59,6719694,6719690,4
2022-12-17 19:21:08,6719690,6719683,7
